DateTime,EpisodeId,ReactionTime,TimeOnTask,JoystickAxisX,JoystickAxisY,DragValue,PlatformAngleSourceX,PlatformAngleSourceY,PlatformAngleSourceZ,BallVelocitySourceX,BallVelocitySourceY,BallVelocitySourceZ,BallPositionSourceX,BallPositionSourceY,BallPositionSourceZ,BallVelocityTargetX,BallVelocityTargetY,BallVelocityTargetZ,BallPositionTargetX,BallPositionTargetY,BallPositionTargetZ
03.05.2023 16:21:29,6,231.9994,337.1748,-0.08124178,0.054790966,0.033333335,0,0,0,-0.316334426,-0.205333591,-0.7162386,-1.91737461,1.48157918,-4.71783972,0.238959521,0,-0.299019,-0.8150821,1.49999964,-0.374295235
03.05.2023 16:21:29,7,215.9991,3047.9629,0,0,0.028571429,0,0,0,-1.09332669,0.013391435,-0.5629427,0.260230064,1.48496532,0.3422923,-0.1982056,0,-0.403833777,0.5388675,1.50000048,0.9901681
03.05.2023 16:21:29,7,31.9996,533.8686,-0.2117431,0.014116207,0.028571429,0,0,0,0.026023358,-0.04626161,-0.5475853,0.466057777,1.5180707,0.749965668,-1.04357338,-9.30E-05,-0.5296503,-0.316498756,1.50000024,0.04615593
03.05.2023 16:21:29,7,23.9976,1540.6105,0.289796859,-0.363163143,0.028571429,0,0,0,-0.748114,0.1932083,-0.240112,-2.48136377,2.17831063,-0.7222662,0.02466015,-5.07E-07,-0.5337181,0.5042305,1.49999988,-0.07365227
03.05.2023 16:21:29,7,430.9133,2555.9403,0.16541177,0.033082347,0.028571429,0,0,0,-0.288976,-0.008201525,0.1605328,-0.091451645,1.65824318,-1.31195593,-0.709301531,1.19E-07,-0.241208076,-4.34382868,1.50000024,-1.35343
03.05.2023 16:21:29,8,216.0213,1433.5044,0,0,0.025,0,0,0,0.901285648,-5.0809083,-0.053087294,1.1339159,2.63408875,1.2901063,0,-4.67948,0,0.6988015,2.82788658,1.31573534
03.05.2023 16:21:29,8,200.0259,2096.411,0,0,0.025,0,0,0,-0.7233952,-0.028672814,-0.8354616,-0.9525013,1.75813818,0.654993534,0.422770083,0,-0.096767984,2.12167931,1.49999988,1.09311819
03.05.2023 16:21:29,8,514.7255,2499.7785,0,0,0.025,0,0,0,-0.9957461,0.054650217,-0.6491911,1.10855484,1.44925046,0.4739504,-0.697231233,-3.87E-07,-0.804788768,-2.7470665,1.5,-1.41773438
03.05.2023 16:21:29,8,31.0008,2282.6945,-0.180703908,-0.438852429,0.025,0,0,0,0.8299844,-0.04279962,0.425860375,-2.39033222,1.824534,-2.50632071,-0.9335489,0,-0.613862753,-1.08707333,1.50000012,-0.96259737
03.05.2023 16:21:29,8,34.996,1856.2312,-0.261366874,-0.3329743,0.025,0,0,0,0.165609688,-3.33049583,0.531129241,-1.79891109,2.02403235,-1.29886055,0.808269858,0,0.412310719,-0.879878044,1.50000012,-1.735533
03.05.2023 16:21:29,8,40.0305,886.3196,-0.893178761,-0.239019722,0.025,0,0,0,0.6296978,-0.1662524,-0.026352417,-0.285955429,1.770989,-1.69442058,0.181589708,0,0.5212212,-1.636982,1.50000012,-0.8258729
